,A00,B00,C00,D00
Review,0.29545454545454547,0.29411764705882354,0.2,0.3058823529411765
Review: Do the mystery function modify its input parameter (img) within the function or does it create a new image? How do you know this from the code? Explain your answer.,0.0,0.0,0.0,0.0
1,0.4827586206896552,0.52,0.64,0.6588235294117647
2,0.5568181818181818,0.5050505050505051,0.4305555555555556,0.46987951807228917
3,0.6172839506172839,0.5,0.6901408450704225,0.65
4,0.75,0.6989247311827957,0.9014084507042254,0.8875
5,0.6206896551724138,0.5833333333333334,0.631578947368421,0.7258064516129032
6,0.5357142857142857,0.4827586206896552,0.28125,0.423728813559322
7,0.23809523809523808,0.25287356321839083,0.3939393939393939,0.5
8,0.6086956521739131,0.6086956521739131,0.6333333333333333,0.6491228070175439
9,0.5714285714285714,0.43478260869565216,0.6206896551724138,0.5370370370370371
10,0.32653061224489793,0.30612244897959184,0.25925925925925924,0.3018867924528302
11,0.7142857142857143,0.625,0.7037037037037037,0.6981132075471698
12,0.5714285714285714,0.3877551020408163,0.5925925925925926,0.49056603773584906
